City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,-3.91,93,100,1.54,CA,1731337385
1,saipan,15.1355,145.701,27.03,91,20,0.89,MP,1731337374
2,west island,-12.1568,96.8225,26.99,83,100,5.14,CC,1731337312
3,port-aux-francais,-49.35,70.2167,4.86,90,91,6.46,TF,1731337388
4,lebu,-37.6167,-73.65,14.26,67,20,4.25,CL,1731337389
5,port lincoln,-34.7333,135.8667,15.49,88,0,4.38,AU,1731337390
6,island harbour,50.724,-1.2758,12.79,66,100,1.79,GB,1731337392
7,utrik,11.2278,169.8474,28.17,80,43,7.81,MH,1731337393
8,jamestown,42.097,-79.2353,10.57,83,100,7.2,US,1731337394
9,atafu village,-8.5421,-172.5159,28.16,73,54,5.66,TK,1731337395
10,waitangi,-43.9535,-176.5597,11.01,94,73,1.79,NZ,1731337396
11,saint-leu,-21.15,55.2833,26.48,99,18,2.79,RE,1731337397
12,katsuura,35.1333,140.3,17.67,74,0,5.66,JP,1731337399
13,enewetak,11.3474,162.3373,28.4,77,69,9.23,MH,1731337401
14,port elizabeth,-33.918,25.5701,21.29,74,20,4.12,ZA,1731337402
15,la passe,45.5549,-0.8967,14.92,69,85,6.33,FR,1731337403
16,oranjemund,-28.55,16.4333,17.11,79,3,9.58,NA,1731337404
17,bredasdorp,-34.5322,20.0403,19.95,57,12,8.19,ZA,1731337405
18,tiksi,71.6872,128.8694,-14.63,96,100,1.9,RU,1731337406
19,isafjordur,66.0755,-23.124,12.02,76,100,7.72,IS,1731337407
20,wuhai,39.6647,106.8122,8.08,33,0,2.91,CN,1731337408
21,anadyr,64.75,177.4833,-13.72,84,0,5.81,RU,1731337409
22,talnakh,69.4865,88.3972,-26.81,91,15,0.88,RU,1731337411
23,edinburgh of the seven seas,-37.0676,-12.3116,12.96,85,100,9.38,SH,1731337412
24,college,64.8569,-147.8028,-18.64,81,94,0.8,US,1731337413
25,adamstown,-25.066,-130.1015,20.93,69,100,0.86,PN,1731337415
26,portland,45.5234,-122.6762,10.99,93,100,4.92,US,1731337260
27,cabo san lucas,22.8909,-109.9124,24.31,58,18,2.13,MX,1731337376
28,warwick,41.7001,-71.4162,17.28,78,75,7.2,US,1731337398
29,kavieng,-2.5744,150.7967,28.0,76,62,4.61,PG,1731337420
30,yellowknife,62.456,-114.3525,-9.21,96,75,5.66,CA,1731337421
31,sarupathar,26.1984,93.8094,20.11,92,0,0.92,IN,1731337422
32,arraial do cabo,-22.9661,-42.0278,26.98,50,0,7.72,BR,1731337423
33,okha,53.5739,142.9478,-3.04,64,88,9.05,RU,1731337424
34,queenstown,-31.8976,26.8753,13.77,77,100,4.63,ZA,1731337425
35,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,74,75,1.0,RU,1731337426
36,ushuaia,-54.8,-68.3,6.81,70,0,2.06,AR,1731337199
37,grytviken,-54.2811,-36.5092,-0.02,86,98,2.26,GS,1731337428
38,blackmans bay,-43.0167,147.3167,10.96,79,100,1.2,AU,1731337430
39,whitehorse,60.7161,-135.0538,-1.57,86,100,3.09,CA,1731337417
40,polyarnyy,69.1989,33.4478,2.55,76,100,6.87,RU,1731337432
41,port alfred,-33.5906,26.891,21.21,77,27,0.89,ZA,1731337433
42,ilulissat,69.2167,-51.1,-5.99,63,75,3.09,GL,1731337434
43,watseka,40.7762,-87.7364,11.16,64,0,6.51,US,1731337435
44,puerto ayora,-0.7393,-90.3518,23.08,83,96,3.58,EC,1731337436
45,isangel,-19.55,169.2667,22.69,88,0,3.99,VU,1731337437
46,antigo,45.1402,-89.1523,3.06,65,100,8.75,US,1731337438
47,machico,32.7,-16.7667,23.35,73,20,5.66,PT,1731337440
48,kerikeri,-35.2268,173.9474,10.23,89,91,2.13,NZ,1731337441
49,margaret river,-33.95,115.0667,14.0,83,18,4.81,AU,1731337442
50,yorkton,51.2167,-102.4677,-1.09,93,100,3.09,CA,1731337212
51,bethel,41.3712,-73.414,17.05,76,75,4.63,US,1731337444
52,hermanus,-34.4187,19.2345,24.33,56,0,9.44,ZA,1731337445
53,crane,31.3974,-102.3501,15.69,41,6,2.17,US,1731337446
54,port alberni,49.2413,-124.8028,8.82,94,100,3.13,CA,1731337447
55,olonkinbyen,70.9221,-8.7187,1.2,80,100,10.71,SJ,1731337448
56,albany,42.6001,-73.9662,14.17,78,55,0.89,US,1731337251
57,altamira,-3.2033,-52.2064,29.05,74,40,4.12,BR,1731337272
58,linxia chengguanzhen,35.6003,103.2064,5.72,74,100,0.97,CN,1731337452
59,newman,37.3138,-121.0208,11.58,83,72,1.79,US,1731337453
60,egilsstadir,65.2653,-14.3948,7.95,66,75,5.14,IS,1731337393
61,jabor,5.921,169.6434,28.26,79,71,5.68,MH,1731337455
62,ancud,-41.8697,-73.8203,11.19,67,92,4.08,CL,1731337456
63,beinamar,8.6698,15.3813,33.5,22,8,2.71,TD,1731337457
64,pandan,14.0453,124.1694,26.31,89,100,2.24,PH,1731337458
65,ille-sur-tet,42.6707,2.6216,18.27,56,3,6.86,FR,1731337460
66,newquay,50.4132,-5.0819,14.16,82,0,3.6,GB,1731337461
67,batticaloa,7.7102,81.6924,27.28,80,10,4.87,LK,1731337462
68,vila franca do campo,37.7167,-25.4333,21.23,99,81,6.89,PT,1731337463
69,chonchi,-42.6128,-73.8092,12.84,68,100,1.44,CL,1731337464
70,st. john's,47.5649,-52.7093,6.75,72,40,4.63,CA,1731337295
71,chibougamau,49.9168,-74.3659,-0.21,100,100,2.06,CA,1731337339
